"Company","Description","Location","Comp Range","Tier","Notes"
"Icarus Robotics","Space robotics + embodied AI. Building human-controlled robots for space stations (ISS/Starlab).","Brooklyn, NYC","150-180k + 1-2% equity","2","$6.1M seed. Direct match for spacecraft controls but unprofessional. Contact Jamie Palmer (CTO)."
"Viam","Robotics OS & Platform - the 'Linux of Robotics'. Founded by Eliot Horowitz (MongoDB).","NYC HQ","","1","Exceptional place to learn how to scale a robotics venture."
"Osmo","Digital Olfaction - AI for smell. Deeply deep-tech/science focused.","NYC","","1","Lux Capital backed, Series B. Needs PhDs who understand physical sensors + ML."
"Radical AI","AI lab + HQ in NY.","NYC","","1",""
"Standard Bots","Industrial AI Arms. Building their own arms and control stacks.","NYC / Glen Cove","","1-2","$63M raised (Series B/C). 'Factory 1' accessible from NYC. Premier hard robotics company in NYC."
"Aaru AI","AI agents for market research. Just hit $1B valuation.","NYC","180-250k + equity","2","Hot company."
"Profound","AI search optimization. Sequoia-backed.","NYC","180-240k + equity","2","$35M Series B."
"Aiera","AI for financial analysis.","NYC","180-240k + equity","2","$25M Series B from 10 Wall Street banks."
"Clay","AI-powered sales/marketing platform.","NYC","180-240k + equity","2","Series B."
"Opentrons","Lab automation robotics. Very stable.","Long Island City, NYC","","2","Series D, $1.8B+ valuation. Safer than early stage but less equity upside."
"Monumental Labs","AI Stone Carving - massive robotic arms for architecture. High-precision path planning and controls.","NYC / Mt Vernon","","2","Founder-led and very technical."
"Toggle Robotics","Construction Robotics - automating rebar and heavy infrastructure.","NYC HQ","","2","Strong focus on computer vision and industrial controls."
"Reflex Robotics","Early-stage general-purpose robots. Small team.","Brooklyn Navy Yard","","2","Explicitly NYC."
"Antioch","Robotics dev / simulation / validation platform for autonomy teams.","NYC HQ","","2","Founded 2025, very small. High-leverage robotics infra."
"Mbodi AI","Embodied-AI layer to teach industrial robots new tasks via natural language.","NYC","","2","YC company. Robotics + LLM agents + real-world deployment."
"Runway","Generative Video AI. Research-heavy.","NYC HQ","","2","Series C. Pivot from robotics to 'World Simulators' (adjacent)."
"Near Space Labs","Aerospace/Imaging.","Brooklyn","","2","Direct aerospace controls application. Stable Series B."
"AI SpaceFactory","Space Construction - robotic 3D printing.","NYC/NJ","","2","High passion fit for space background."
"Synchron","BCI / Robotics. Moonshot technology.","Brooklyn","","2","Huge VC backing."
"Carbon Arc","AI-ready data marketplaces.","NYC","160-200k + equity","3","Series A."
"Starbridge","Government/education AI.","NYC","170-220k + equity","3","$42M Series A."
"DarkSaber Labs","Agentic Defense AI - sensor fusion and autonomous interpretation.","NYC / Remote","","3","Emerging defense-tech, high-intensity."
"Pliant Energy","Biomimetic undulating robots for water/ice. Unique fluid dynamics controls.","Brooklyn","","2","R&D stage. Novel locomotion."
"K2 Space","High-power satellite buses for massive payloads.","NYC + LA","","2","Series A ($50M+). Ex-SpaceX CEO. Blue-chip space startup."
"Mythos AI","Autonomous maritime mapping/survey vessels. CV + controls.","BNY (Newlab)","","2","Seed ($5M+). 'Roomba for ports'."
"Bedrock Ocean Exploration","AUVs + cloud platform for sea-floor mapping.","BNY","","2","Series A ($8M+). Blue Economy; offshore wind."
"Easy Aerial","Autonomous drone-in-a-box for defense/security.","BNY (Bldg 77)","","2","Series A ($6M+). Defense contracts."
"Qunnect","Quantum networking hardware.","BNY","","2","Series A ($8M+). Deep physics; hyper-niche."
"Mirror Physics","High-fidelity physics simulations for Physical AI.","NYC (Manhattan)","","2","Seed. 'World models' for robot training."
"Kyber Labs","Teleoperation + low-latency control for autonomous fleets.","BNY (Newlab)","","2","Seed. OS for remote-controlled hardware."
"FingerVision","Tactile sensors for robotic manipulation.","BNY","","2","Seed. Solving dexterity problem."
"Vayu Robotics","Low-cost delivery robots (no LiDAR).","NYC + Palo Alto","","2","Series A ($12M). Ex-Apple/Lyft autonomy."
"Angelic Drones","Autonomous drones for telecom/infrastructure inspection.","BNY (Bldg 303)","","2","Seed. Industrial inspection."
"Spaceium","Autonomous orbital refueling/repair stations.","NYC (Manhattan)","","3","YC S24, Series A ($6M+)."
"Wardstone","Satellites with interceptors for hypersonic defense.","NYC","","3","YC F2025. Hard defense tech."
"AxionOrbital Space","Foundation models: SAR radar to optical imagery.","NYC (Manhattan)","","3","YC W2026. Satellite imaging AI."
"Human Archive","Multimodal data for humanoid robot training.","NYC","","3","YC W2026. Data layer for robotics."
"OctaPulse","AI vision/robotics for fish farm QA.","NYC (Manhattan)","","3","YC W2026. Has paying customers."
"Stratus Aviation","AI backbone for airport ground ops.","NYC (Manhattan)","","3","YC F2025. More software/ops."
"Nox Metals","Software for fast CNC/metal parts.","NYC","","3","YC S25. Infra for hardware."
"Mantis Bio","Digital twins of human motion.","Manhattan","","3","YC W26. CV + biomechanics."
"Budbreak Innovations","Vineyard robots for disease detection.","NYC (Roosevelt Island)","","3","Seed (Cornell). AgTech niche."
"RemNeuro","Robotic systems for neurological exams.","NYC (Manhattan)","","3","Seed. MedTech niche."
"Actasys","Sensor cleaning for AVs.","BNY (Bldg 128)","","3","Seed/A. Components; niche."
"Tarform","Smart electric motorcycles.","BNY","","3","Private. Consumer; less technical."
"Paperspace","AI Infrastructure.","NYC","","3","Acquired by DigitalOcean, operates autonomously. Good for systems practice."
"Kquika","Aviation AI.","NYC","","3","Leverages aviation domain knowledge."
